Stocks,Symbol
SBIN,SBIN.NS
ZEEL,ZEEL.NS
YESBANK,YESBANK.NS
WIPRO,WIPRO.NS
WHIRLPOOL,WHIRLPOOL.NS
VOLTAS,VOLTAS.NS
VGUARD,VGUARD.NS
VBL,VBL.NS
UPL,UPL.NS
UNIONBANK,UNIONBANK.NS
ULTRACEMCO,ULTRACEMCO.NS
UBL,UBL.NS
TVSMOTOR,TVSMOTOR.NS
TRENT,TRENT.NS
TORNTPOWER,TORNTPOWER.NS
TORNTPHARM,TORNTPHARM.NS
TITAN,TITAN.NS
TECHM,TECHM.NS
TCS,TCS.NS
TATASTEEL,TATASTEEL.NS
TATAPOWER,TATAPOWER.NS
TATAMOTORS,TATAMOTORS.NS
TATACONSUM,TATACONSUM.NS
TATACHEM,TATACHEM.NS
SYNGENE,SYNGENE.NS
SUNTV,SUNTV.NS
SUNPHARMA,SUNPHARMA.NS
SRTRANSFIN,SRTRANSFIN.NS
SRF,SRF.NS
SIEMENS,SIEMENS.NS
SHREECEM,SHREECEM.NS
SBILIFE,SBILIFE.NS
SBICARD,SBICARD.NS
SANOFI,SANOFI.NS
SAIL,SAIL.NS
RELIANCE,RELIANCE.NS
RECLTD,RECLTD.NS
RBLBANK,RBLBANK.NS
RAMCOCEM,RAMCOCEM.NS
RAJESHEXPO,RAJESHEXPO.NS
PRESTIGE,PRESTIGE.NS
POWERGRID,POWERGRID.NS
POLYCAB,POLYCAB.NS
PNB,PNB.NS
PIIND,PIIND.NS
PIDILITIND,PIDILITIND.NS
PGHH,PGHH.NS
PFIZER,PFIZER.NS
PFC,PFC.NS
PETRONET,PETRONET.NS
PEL,PEL.NS
PAGEIND,PAGEIND.NS
ONGC,ONGC.NS
OIL,OIL.NS
OFSS,OFSS.NS
OBEROIRLTY,OBEROIRLTY.NS
NTPC,NTPC.NS
NMDC,NMDC.NS
NESTLEIND,NESTLEIND.NS
NAVINFLUOR,NAVINFLUOR.NS
NAUKRI,NAUKRI.NS
NATIONALUM,NATIONALUM.NS
NATCOPHARM,NATCOPHARM.NS
NAM-INDIA,NAM-INDIA.NS
MUTHOOTFIN,MUTHOOTFIN.NS
MRF,MRF.NS
MPHASIS,MPHASIS.NS
MINDTREE,MINDTREE.NS
MGL,MGL.NS
MFSL,MFSL.NS
MCDOWELL-N,MCDOWELL-N.NS
MARUTI,MARUTI.NS
MARICO,MARICO.NS
MANAPPURAM,MANAPPURAM.NS
M&MFIN,M&MFIN.NS
M&M,M&M.NS
LUPIN,LUPIN.NS
LTTS,LTTS.NS
LTI,LTI.NS
LT,LT.NS
LICHSGFIN,LICHSGFIN.NS
LALPATHLAB,LALPATHLAB.NS
L&TFH,L&TFH.NS
KOTAKBANK,KOTAKBANK.NS
JUBLFOOD,JUBLFOOD.NS
JSWSTEEL,JSWSTEEL.NS
JSWENERGY,JSWENERGY.NS
JINDALSTEL,JINDALSTEL.NS
ITC,ITC.NS
ISEC,ISEC.NS
IRCTC,IRCTC.NS
IPCALAB,IPCALAB.NS
IOC,IOC.NS
INFY,INFY.NS
INDUSTOWER,INDUSTOWER.NS
INDUSINDBK,INDUSINDBK.NS
INDIGO,INDIGO.NS
INDHOTEL,INDHOTEL.NS
IGL,IGL.NS
IDFCFIRSTB,IDFCFIRSTB.NS
IDEA,IDEA.NS
ICICIPRULI,ICICIPRULI.NS
ICICIGI,ICICIGI.NS
ICICIBANK,ICICIBANK.NS
IBULHSGFIN,IBULHSGFIN.NS
HUDCO,HUDCO.NS
HINDZINC,HINDZINC.NS
HINDUNILVR,HINDUNILVR.NS
HINDPETRO,HINDPETRO.NS
HINDALCO,HINDALCO.NS
HEROMOTOCO,HEROMOTOCO.NS
HDFCLIFE,HDFCLIFE.NS
HDFCBANK,HDFCBANK.NS
HDFCAMC,HDFCAMC.NS
HDFC,HDFC.NS
HCLTECH,HCLTECH.NS
HAVELLS,HAVELLS.NS
GUJGASLTD,GUJGASLTD.NS
GSPL,GSPL.NS
GRASIM,GRASIM.NS
GODREJPROP,GODREJPROP.NS
GODREJIND,GODREJIND.NS
GODREJCP,GODREJCP.NS
GODREJAGRO,GODREJAGRO.NS
GMRINFRA,GMRINFRA.NS
GLENMARK,GLENMARK.NS
GLAND,GLAND.NS
GICRE,GICRE.NS
GAIL,GAIL.NS
FRETAIL,FRETAIL.NS
FORTIS,FORTIS.NS
FEDERALBNK,FEDERALBNK.NS
EXIDEIND,EXIDEIND.NS
ESCORTS,ESCORTS.NS
ENDURANCE,ENDURANCE.NS
EMAMILTD,EMAMILTD.NS
EICHERMOT,EICHERMOT.NS
EDELWEISS,EDELWEISS.NS
DRREDDY,DRREDDY.NS
DMART,DMART.NS
DLF,DLF.NS
DIVISLAB,DIVISLAB.NS
DHANI,DHANI.NS
DALBHARAT,DALBHARAT.NS
DABUR,DABUR.NS
CUMMINSIND,CUMMINSIND.NS
CUB,CUB.NS
CROMPTON,CROMPTON.NS
COROMANDEL,COROMANDEL.NS
CONCOR,CONCOR.NS
COLPAL,COLPAL.NS
COFORGE,COFORGE.NS
COALINDIA,COALINDIA.NS
CIPLA,CIPLA.NS
CHOLAFIN,CHOLAFIN.NS
CESC,CESC.NS
CASTROLIND,CASTROLIND.NS
CANBK,CANBK.NS
CADILAHC,CADILAHC.NS
BRITANNIA,BRITANNIA.NS
BPCL,BPCL.NS
BOSCHLTD,BOSCHLTD.NS
BIOCON,BIOCON.NS
BHEL,BHEL.NS
BHARTIARTL,BHARTIARTL.NS
BHARATFORG,BHARATFORG.NS
BERGEPAINT,BERGEPAINT.NS
BEL,BEL.NS
BBTC,BBTC.NS
BATAINDIA,BATAINDIA.NS
BANKINDIA,BANKINDIA.NS
BANKBARODA,BANKBARODA.NS
BANDHANBNK,BANDHANBNK.NS
BALKRISIND,BALKRISIND.NS
BAJFINANCE,BAJFINANCE.NS
BAJAJHLDNG,BAJAJHLDNG.NS
